# Program:featureCounts v2.0.2; Command:"featureCounts" "-T" "8" "-p" "-t" "gene" "-a" "gff/merged_TX_combined.saf" "-F" "SAF" "-o" "readCounts/TxF6f6_dna_counts.out" "-Q" "30" "DNAmapped/TxF6f6_merged_sorted_dupsMarked.bam" 
Geneid	Chr	Start	End	Strand	Length	DNAmapped/TxF6f6_merged_sorted_dupsMarked.bam
NChap2_final_00007971	A1	3961261	3964184	-	2924	711
NChap2_final_00007970	A1	3975457	3977475	-	2019	562
NChap2_final_00007969	A1	4042425	4047902	+	5478	1264
NChap2_final_00007967	A1	4051819	4058622	-	6804	1953
NChap2_final_00007966	A1	4135604	4137329	+	1726	514
NChap2_final_00007964	A1	4149573	4152221	-	2649	789
NChap2_final_00007963	A1	4156838	4159964	-	3127	931
NChap2_final_00007962	A1	4167400	4169213	-	1814	579
NChap2_final_00007961	A1	4175639	4178125	+	2487	714
NChap2_final_00007959	A1	4331347	4332378	-	1032	363
NChap2_final_00007958	A1	4352137	4355215	-	3079	816
NChap2_final_00007957	A1	4386360	4388755	+	2396	760
NChap2_final_00007956	A1	4392802	4396082	-	3281	894
NChap2_final_00007955	A1	4397326	4400711	-	3386	936
NChap2_final_00007954	A1	4431940	4433633	-	1694	409
NChap2_final_00007953	A1	4434698	4437326	-	2629	689
NChap2_final_00007952	A1	4460400	4473514	-	13115	3457
NChap2_final_00007950	A1	4495589	4498703	+	3115	859
NChap2_final_00007949	A1	4503838	4508124	+	4287	974
NChap2_final_00005730	A1	4541470	4542951	-	1482	211
NChap2_final_00001762	A1	4558186	4559079	-	894	22
NChap2_final_00007948	A1	4633812	4635906	+	2095	637
NChap2_final_00007947	A1	4641239	4643502	+	2264	639
NChap2_final_00007946	A1	4648826	4651401	-	2576	751
NChap2_final_00007945	A1	4656189	4657856	+	1668	556
NChap2_final_00007944	A1	4686641	4689411	-	2771	767
NChap2_final_00007943	A1	4701716	4703960	+	2245	354
NChap2_final_00007942	A1	4703235	4706597	-	3363	755
NChap2_final_00007941	A1	4707914	4709287	-	1374	371
NChap2_final_00007939	A1	4729842	4737174	+	7333	1909
NChap2_final_00007940	A1	4732997	4733429	-	433	0
NChap2_final_00007938	A1	4810798	4817366	+	6569	1715
NChap2_final_00007937	A1	4828548	4832506	-	3959	1305
NChap2_final_00007936	A1	4833849	4838662	-	4814	1274
NChap2_final_00007935	A1	4858153	4863876	-	5724	1494
NChap2_final_00007934	A1	4884079	4893285	-	9207	2509
NChap2_final_00007933	A1	4893690	4898483	+	4794	1297
NChap2_final_00007932	A1	4908516	4914143	-	5628	1488
NChap2_final_00007930	A1	4943138	4950158	+	7021	1862
NChap2_final_00007929	A1	4950441	4952919	-	2479	783
NChap2_final_00007928	A1	4956837	4957971	-	1135	350
NChap2_final_00007927	A1	4981422	4986298	-	4877	1085
NChap2_final_00007926	A1	4991465	4994527	+	3063	867
NChap2_final_00007925	A1	5009897	5011627	-	1731	571
NChap2_final_00007924	A1	5048551	5060951	+	12401	3569
NChap2_final_00007923	A1	5062240	5066289	-	4050	935
NChap2_final_00007922	A1	5069483	5071445	-	1963	554
NChap2_final_00007921	A1	5116151	5117365	+	1215	377
NChap2_final_00007920	A1	5140565	5144367	+	3803	886
NChap2_final_00007919	A1	5183507	5185849	+	2343	585
NChap2_final_00007918	A1	5212215	5218053	-	5839	1594
NChap2_final_00007917	A1	5229683	5231077	-	1395	400
NChap2_final_00007916	A1	5254512	5255516	+	1005	268
NChap2_final_00007915	A1	5261252	5263614	+	2363	627
NChap2_final_00007914	A1	5267188	5270774	-	3587	979
NChap2_final_00026243	A1	5274172	5275841	+	1670	520
NChap2_final_00007913	A1	5292606	5295809	-	3204	838
NChap2_final_00007912	A1	5297080	5299298	+	2219	555
NChap2_final_00007911	A1	5303539	5307677	-	4139	1088
NChap2_final_00007910	A1	5310119	5312371	+	2253	681
NChap2_final_00007909	A1	5329575	5330233	+	659	203
NChap2_final_00007908	A1	5334048	5336489	+	2442	665
NChap2_final_00007907	A1	5352119	5355769	+	3651	954
NChap2_final_00007906	A1	5356031	5358738	-	2708	755
NChap2_final_00007905	A1	5363344	5366974	-	3631	1057
NChap2_final_00007904	A1	5375472	5376644	-	1173	351
NChap2_final_00007903	A1	5380112	5389033	+	8922	2517
NChap2_final_00007902	A1	5396652	5397191	+	540	141
NChap2_final_00007901	A1	5398791	5402951	+	4161	1088
NChap2_final_00007900	A1	5403965	5405422	-	1458	432
NChap2_final_00007899	A1	5413499	5416660	-	3162	753
NChap2_final_00007898	A1	5510291	5511739	-	1449	384
NChap2_final_00007897	A1	5540881	5542781	-	1901	514
NChap2_final_00007896	A1	5576725	5580546	+	3822	1034
NChap2_final_00007895	A1	5592700	5593497	-	798	216
NChap2_final_00007894	A1	5632252	5633559	-	1308	379
NChap2_final_00007893	A1	5638306	5643295	-	4990	1405
NChap2_final_00007892	A1	5657896	5660305	-	2410	585
NChap2_final_00007891	A1	5681318	5683977	+	2660	658
NChap2_final_00007890	A1	5684731	5686085	-	1355	419
NChap2_final_00007889	A1	5696838	5698651	+	1814	527
NChap2_final_00007888	A1	5715390	5718481	+	3092	775
NChap2_final_00007887	A1	5718743	5719952	-	1210	385
NChap2_final_00007886	A1	5721527	5730075	+	8549	1946
NChap2_final_00007885	A1	5749720	5753421	+	3702	1066
NChap2_final_00007884	A1	5754179	5756430	-	2252	620
NChap2_final_00007883	A1	5769777	5771303	+	1527	412
NChap2_final_00007882	A1	5795092	5796015	+	924	237
NChap2_final_00007881	A1	5804775	5806944	+	2170	692
NChap2_final_00007880	A1	5809633	5815203	+	5571	1658
NChap2_final_00007878	A1	5851356	5855098	+	3743	867
NChap2_final_00007877	A1	5860046	5861033	+	988	304
NChap2_final_00007876	A1	5861942	5863351	+	1410	404
NChap2_final_00007875	A1	5869735	5874079	+	4345	1101
NChap2_final_00007874	A1	5876643	5880940	+	4298	1078
NChap2_final_00007873	A1	5891549	5906856	-	15308	4000
NChap2_final_00007872	A1	5928245	5935076	-	6832	1885
NChap2_final_00022531	A1	5936343	5937457	+	1115	390
NChap2_final_00007871	A1	5958045	5964102	+	6058	1658
NChap2_final_00007870	A1	5970719	5976170	+	5452	1449
NChap2_final_00007869	A1	5979287	5980780	-	1494	422
NChap2_final_00007868	A1	5990522	5991625	-	1104	294
NChap2_final_00024282	A1	6007888	6009567	+	1680	575
NChap2_final_00007867	A1	6011452	6015511	+	4060	1171
NChap2_final_00007866	A1	6017044	6019494	-	2451	739
NChap2_final_00007865	A1	6027334	6029221	-	1888	500
NChap2_final_00007864	A1	6032502	6034592	+	2091	599
NChap2_final_00007863	A1	6063444	6068720	-	5277	1429
NChap2_final_00007862	A1	6080466	6081115	+	650	247
NChap2_final_00007861	A1	6082200	6083674	-	1475	445
NChap2_final_00007860	A1	6111694	6115964	-	4271	1095
NChap2_final_00007859	A1	6123154	6128342	-	5189	1625
NChap2_final_00007858	A1	6140051	6146112	-	6062	1637
NChap2_final_00007857	A1	6147547	6157238	-	9692	2656
NChap2_final_00007856	A1	6189127	6201766	+	12640	3215
NChap2_final_00007855	A1	6202974	6206416	+	3443	946
NChap2_final_00007854	A1	6288463	6290294	-	1832	521
NChap2_final_00007852	A1	6315365	6316125	-	761	255
NChap2_final_00007851	A1	6343427	6347171	+	3745	988
NChap2_final_00007850	A1	6378693	6382303	+	3611	929
NChap2_final_00007849	A1	6426434	6427014	-	581	149
NChap2_final_00007848	A1	6456317	6457420	-	1104	341
NChap2_final_00007847	A1	6472314	6476369	-	4056	1122
NChap2_final_00007846	A1	6479141	6481111	-	1971	562
NChap2_final_00024740	A1	6509904	6513997	-	4094	1841
NChap2_final_00007845	A1	6515815	6521401	+	5587	1442
NChap2_final_00007844	A1	6522989	6525889	-	2901	741
NChap2_final_00007843	A1	6540002	6542002	+	2001	693
NChap2_final_00007842	A1	6550567	6555152	-	4586	1197
NChap2_final_00007841	A1	6556426	6560527	+	4102	1171
NChap2_final_00007840	A1	6569089	6570884	+	1796	493
NChap2_final_00007839	A1	6572432	6575807	-	3376	981
NChap2_final_00007838	A1	6587532	6596419	-	8888	2358
NChap2_final_00007837	A1	6629853	6631151	+	1299	400
NChap2_final_00007836	A1	6633341	6634657	+	1317	370
NChap2_final_00007835	A1	6648530	6649717	-	1188	314
NChap2_final_00007834	A1	6697189	6704054	-	6866	1815
NChap2_final_00007832	A1	6725584	6726689	-	1106	294
NChap2_final_00007831	A1	6727048	6727503	+	456	32
NChap2_final_00007830	A1	6727189	6735014	-	7826	2121
NChap2_final_00007829	A1	6744017	6746711	-	2695	599
NChap2_final_00007828	A1	6768628	6775922	-	7295	1729
NChap2_final_00007827	A1	6802958	6804764	-	1807	453
NChap2_final_00007826	A1	6815519	6816652	+	1134	302
NChap2_final_00007825	A1	6863829	6866936	+	3108	819
NChap2_final_00007824	A1	6881022	6892911	-	11890	1923
NChap2_final_00029009	A1	6897943	6903255	-	5313	3185
NChap2_final_00007823	A1	6906863	6907678	+	816	242
NChap2_final_00007822	A1	6937256	6940311	-	3056	750
NChap2_final_00007821	A1	6980956	6982912	+	1957	551
NChap2_final_00007820	A1	7007243	7008794	+	1552	460
NChap2_final_00007819	A1	7010773	7016035	-	5263	1389
NChap2_final_00021074	A1	7020322	7022066	-	1745	1919
NChap2_final_00007818	A1	7031368	7035891	-	4524	1244
NChap2_final_00007816	A1	7068228	7073252	+	5025	1412
NChap2_final_00007815	A1	7076382	7079775	+	3394	1255
NChap2_final_00007814	A1	7081488	7085738	+	4251	1189
NChap2_final_00007813	A1	7097088	7099820	+	2733	734
NChap2_final_00007812	A1	7100667	7103004	-	2338	679
NChap2_final_00007811	A1	7105608	7110438	+	4831	1290
NChap2_final_00007810	A1	7123686	7124490	-	805	228
NChap2_final_00007809	A1	7156641	7157887	-	1247	380
NChap2_final_00007808	A1	7158607	7159336	-	730	389
NChap2_final_00007807	A1	7166953	7172942	+	5990	635
NChap2_final_00009357	A1	7174807	7175761	-	955	387
NChap2_final_00007805	A1	7214419	7217491	+	3073	398
NChap2_final_00007804	A1	7251030	7251603	+	574	59
NChap2_final_00007803	A1	7259430	7260841	-	1412	438
NChap2_final_00007802	A1	7266373	7271305	-	4933	1238
NChap2_final_00007801	A1	7299976	7303248	+	3273	880
NChap2_final_00007800	A1	7306736	7308958	+	2223	704
NChap2_final_00007799	A1	7312928	7319143	-	6216	1679
NChap2_final_00007798	A1	7327011	7330874	+	3864	1055
NChap2_final_00007797	A1	7332448	7347749	-	15302	4226
NChap2_final_00007796	A1	7347591	7348591	+	1001	267
NChap2_final_00007795	A1	7355009	7356180	+	1172	373
NChap2_final_00007794	A1	7369399	7374320	-	4922	1265
NChap2_final_00007792	A1	7403323	7404338	-	1016	380
NChap2_final_00007791	A1	7408984	7411682	-	2699	803
NChap2_final_00007790	A1	7440079	7441504	+	1426	375
NChap2_final_00007789	A1	7463526	7465053	+	1528	443
NChap2_final_00007787	A1	7498115	7499222	+	1108	283
NChap2_final_00007786	A1	7505922	7508186	-	2265	576
NChap2_final_00007785	A1	7530847	7533738	-	2892	769
NChap2_final_00007784	A1	7534969	7541087	+	6119	1636
NChap2_final_00007783	A1	7542489	7546253	+	3765	1089
NChap2_final_00023592	A1	7587700	7589256	-	1557	23
NChap2_final_00007782	A1	7592169	7593191	+	1023	280
NChap2_final_00007781	A1	7593552	7595110	-	1559	451
NChap2_final_00007780	A1	7647948	7653980	+	6033	1632
NChap2_final_00007779	A1	7655161	7659698	+	4538	1227
NChap2_final_00007778	A1	7661162	7662699	-	1538	440
NChap2_final_00007777	A1	7685634	7691713	-	6080	1524
NChap2_final_00007776	A1	7734184	7735572	-	1389	411
NChap2_final_00007775	A1	7759900	7765344	-	5445	1556
NChap2_final_00007774	A1	7789698	7793508	-	3811	1024
NChap2_final_00007773	A1	7798743	7801519	-	2777	744
NChap2_final_00012906	A1	7835633	7837144	+	1512	39
NChap2_final_00007772	A1	7845149	7847416	+	2268	657
NChap2_final_00007771	A1	7853474	7857162	-	3689	1055
NChap2_final_00007770	A1	7858605	7859819	+	1215	393
NChap2_final_00007769	A1	7894192	7895186	+	995	315
NChap2_final_00017809	A1	7896761	7900961	+	4201	26
NChap2_final_00007768	A1	7903161	7904290	+	1130	329
NChap2_final_00007767	A1	7934904	7937971	-	3068	907
NChap2_final_00007766	A1	7946022	7949882	-	3861	1139
NChap2_final_00007765	A1	7957721	7960022	+	2302	638
NChap2_final_00007764	A1	7960013	7965656	-	5644	1551
NChap2_final_00007763	A1	7975152	7975672	-	521	167
NChap2_final_00007762	A1	7989250	7991082	-	1833	502
NChap2_final_00007761	A1	8088464	8094777	+	6314	1209
NChap2_final_00007760	A1	8095925	8097880	-	1956	534
NChap2_final_00007759	A1	8132453	8134215	-	1763	398
NChap2_final_00007757	A1	8183453	8187852	-	4400	832
NChap2_final_00007755	A1	8303380	8304378	+	999	288
NChap2_final_00007754	A1	8385720	8387397	+	1678	518
NChap2_final_00007753	A1	8389139	8391657	-	2519	739
NChap2_final_00007752	A1	8432654	8438427	+	5774	1729
NChap2_final_00007751	A1	8446480	8447400	-	921	278
NChap2_final_00007750	A1	8449264	8450964	+	1701	520
NChap2_final_00007749	A1	8452028	8459899	-	7872	2171
NChap2_final_00007748	A1	8465239	8467315	-	2077	654
NChap2_final_00007747	A1	8491650	8494187	+	2538	724
NChap2_final_00007131	A1	8493992	8497428	-	3437	829
NChap2_final_00007745	A1	8500997	8503338	-	2342	593
NChap2_final_00007744	A1	8580834	8585135	+	4302	1215
NChap2_final_00011821	A1	8602891	8603253	-	363	214
NChap2_final_00024143	A1	8611254	8612807	-	1554	0
NChap2_final_00007742	A1	8625446	8628078	-	2633	813
NChap2_final_00007741	A1	8643395	8644584	+	1190	363
NChap2_final_00007740	A1	8656716	8657250	+	535	172
NChap2_final_00007738	A1	8687607	8688291	+	685	200
NChap2_final_00007737	A1	8705060	8709230	-	4171	1119
NChap2_final_00007736	A1	8714771	8715977	-	1207	312
NChap2_final_00007735	A1	8728219	8732810	+	4592	1202
NChap2_final_00007734	A1	8735517	8743693	-	8177	1313
NChap2_final_00007733	A1	8744145	8748982	+	4838	1493
NChap2_final_00007732	A1	8761113	8765877	-	4765	1185
NChap2_final_00007731	A1	8781735	8791207	+	9473	2414
NChap2_final_00007730	A1	8793963	8798057	+	4095	918
NChap2_final_00007728	A1	8833997	8839051	+	5055	1113
NChap2_final_00007729	A1	8834440	8835227	-	788	0
NChap2_final_00007727	A1	8840201	8840671	-	471	192
NChap2_final_00007726	A1	8847836	8850066	+	2231	681
NChap2_final_00007725	A1	8923572	8924900	-	1329	339
NChap2_final_00007724	A1	8930863	8931372	-	510	188
NChap2_final_00007723	A1	8959825	8965939	+	6115	1812
NChap2_final_00007722	A1	8991603	8992335	-	733	207
NChap2_final_00007721	A1	9005558	9008574	+	3017	842
